sentiment,text
Positive,"RT @AllenWestRepub ""Twitter declares @CarlyFiorina the #GOPDebate winner  "" http://t.co/lX0RkaHzMQ"
Negative,America in 2015 Doesn't Deserve Ben Carson http://t.co/pe4NrDzXoG via @ijreview @gop #gopdebate @realbencarson
Negative,RT @OITNB_Beyond: Democrats watching the #GOPDebate tonight!!! This is a comedy hour!!! http://t.co/kKrpmE1XCE
Positive,RT @_rightchick: I just love @CarlyFiorina!! She owned last night 🙌�?�🇺🇸�?� #GOPDebate #ycot http://t.co/6khqpdqpn9
Negative,RT @lexi4prez: Drinking game: take a shot every time a republican shames immigration or planned parenthood #GOPDebate
Negative,"""I'm a new kind of Republican moving the party forward! But women shouldn't have control over their own bodies!"" ~ Republicans #GOPDebate"
Positive,@DerrickBMartin: Stand-outs #GOPDebate   1.@marcorubio 2.@CarlyFiorina 3.@tedcruz 4.@RealBenCarson 5.@RickSantorum
Negative,RT @snowlady09: @megynkelly #GOPDebate You should have been objective your bias got in the way I can only wonder who's agenda you were carr…
Negative,"RT @BettyBowers: Asking about God violates  Article VI, paragraph 3 of the Constitution: ""There will be no religious test for office."" #GOP…"
Positive,@rushlimbaugh You are so #SpotOn Rush about t order coming down Fox to take out #Trump. #GOPDebate I knew it was true on 1st ? #Cruz2016
Negative,"RT @DoriaBiddle: Jeb Bush: ""Knowing what we know now...""  We knew it then, idiot!  #Iraq #GOPDebate"
Neutral,They seem to have an audience full of lefty righties. #GOPDebate
Neutral,RT @MashableNews: .@realdonaldtrump went on a late-night Twitter rant against @MegynKelly after the #GOPdebate: http://t.co/dl4mWpNZzm http…
Positive,RT @_NateDrake: Really excited about this campaign season. Googling the date now for the #GOPDebate because I want to stay informed and on …
Negative,RT @FreedomTexasMom: . @megynkelly nice attempt at provoking @realDonaldTrump to attack you instead of focusing on the issues. #epicFAIL #G…
Negative,Friendly reminder that a focus group is not a poll #GOPDebate  https://t.co/MheK8YWGLH
Neutral,RT gov: Most-retweeted media Tweet of #GOPDebate: https://t.co/DV2E4jHXcS
Negative,"RT @KLSouth: .@megynkelly's allegiance is to Murdock &amp; Ailes, not the American people. Understand this, you'll understand her. #kellyfile #…"
Negative,RT @OhNoSheTwitnt: So are you people who are playing the drinking game dead yet? #GOPDebate
Neutral,"How To Be Filmed Murdering a Man, Cover It Up, Be Free On Bail, And Ask For Your Job Back @alternet http://t.co/o2psPH6MZv #GOPDebate #USA"
Negative,"RT @DudeYouCrazy: Trump just missed a golden opp to say, ""Know who else filed bankruptcy? 50 cent. And Fifty is a P.I.M.P. Sorry, Huckabee.…"
Positive,I was surprisingly impressed with @marcorubio last night. Definitely is moving up my list of candidates! #GOPdebate
Neutral,In GOP land the year is about 1955 #GOPDebate
Neutral,"RT @AllenWestRepub ""RT @oliverdarcy Debbie Wasserman-Schultz statement on #GOPDebate: 'GOP is solely focused on... http://t.co/ZLnHjwSWyh"
Negative,"#GOPDebate: Meet Scott Walker’s Paranoid, Insurrectionist Adviser On Police Violence Against African... http://t.co/0QHLjkfnGg"
Positive,@CarlyFiorina heard some  of your response from #GOPDebate . They were clear and to the point. Wish you good luck.
Neutral,"Moment #Megyn Kelly Burns #DonaldTrump ""You Called #Women Fat Pigs, Disgusting animals"" #USA #GOPDEBATE
https://t.co/VViA1NUyLd via @YouTube"
Neutral,"RT @AllenWestRepub ""RT @oliverdarcy Debbie Wasserman-Schultz statement on #GOPDebate: 'GOP is solely focused on... http://t.co/6WBRVlGBzT"
Neutral,"RT @AllenWestRepub ""RT @oliverdarcy Debbie Wasserman-Schultz statement on #GOPDebate: 'GOP is solely focused on... http://t.co/KYcd24HU97"
Negative,"RT @AnthonyCumia: Poor Ronald Reagan is stuck in this debate like a bad group text.
#GOPDebate"
Negative,"Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night."
Positive,"RT @pattonoswalt: Well holy shit, Kasich. Good on you. #GOPDebate"
Neutral,RT @mojowhoha: All the Debaters from the #GOPDebate on the Next @racewarspodcast with @Sherrod_Small @kurtmetzger  XM103 Sirius206 Wed @ 9p…
Neutral,"Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
https://t.co/w31LtcLTfm"
Neutral,@dooley_dooley Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
Positive,Lmfao!!! @KingHilarities you'll find this very funny 😂😂😂😂😂😂 https://t.co/rHTbzSJKUe #GOPDebate #Republicandebate #Lmfao
Negative,"RT @thomasjohnstn1: 10 wealthy, conservative men setting out the rights that women should and shouldn't be entitled to. #GOPDebate"
Positive,"RT @TheFriddle: It would be so epic. I'd love to see Cruz, Rubio, Fiorina debate. Just the three of them. #EPIC #GOPDebate  https://t.co/s1…"
Neutral,Chris Wallace wanted Trump and Bush to throw some hands. #GOPDebate #DonaldTrump #JebBush http://t.co/Q3BpYSeSuE
Neutral,"RT @WhineNot: Rush: ""Big time Republican donors were ordered to take out Donald Trump"" #believable #GOPDebate"
Positive,I SAW that! He's SO good - Stands WAY OUT in this GOP crowd! CONNECTS with people like ME! #Rick2016 #GOPDebate  https://t.co/CjWUMdTdPW
Negative,"RT @JonFeere: Fox's @MegynKelly says she's ""switching topics to national security and terrorism""... As if that doesn't involve immigration.…"
Negative,it's scary how out of touch with the real world Republicans are. #GOPDebate
Positive,RT @greta: .@KarlRove: I think @CarlyFiorina did great tonight - @GovernorPerry did great too -OTR #greta #GOPDebate @FoxNews
Negative,RT @Bipartisanism: Donald Trump at the #GOPDebate be like: http://t.co/Ak10IHSCXC
Neutral,RT @rogercuster: @jeffreyatucker they all seem to be for spending cuts but not defense cuts #GOPDebate
Neutral,This was indeed one of Jeb's more curious statements last night. #GOPDebate  https://t.co/toUZFUii2h
Negative,"RT @keithboykin: After #Ferguson, #Baltimore, #Cleveland, #McKinney, #SandraBland and #SamDubose, not one question about #BlackLivesMatter …"
Negative,Your wife @MELANIATRUMP looks exactly like @Caitlyn_Jenner. Get her a better plastic surgeon. #GOPDebate  https://t.co/w0kxqFX7cu
Neutral,"RT @Hollywoodheat: RT @evanmcmurry According to @gov, the most-retweeted candidate tweet of  #GOPDebate didn't come from a Republican: http…"
Negative,"In the #GOPdebate I noticed that they kept talking about policies in terms of being conservative or not, as opposed to good or not."
Positive,RT @allegrakirkland: .@realdonaldtrump shared some inspiring applause lines at last night's #GOPDebate: http://t.co/5hWdKfgPxA http://t.co/…
Neutral,"Gov. Mike Huckabee @GovMikeHuckabee
.@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt;... http://t.co/LDyp98eyZg"
Positive,"RT @johncardillo: .@SenTedCruz is brilliant, principled, and fearless. The future of the party. The est. Rove, Priebus @GOP is a statist di…"
Negative,I'm pretty sure Trump's popularity indicates there are just as many Republicans trolling this primary as Democrats. #GOPDebate
Neutral,RT @moneyries: The most-retweeted presidential candidate Tweet of the #GOPDebate. https://t.co/hdKdiZIym2
Negative,RT @laina622: The king of resting bitch face #GOPDebate http://t.co/PvOS66iH2R
Neutral,"RT @michaelpleahy: Rush: ""most important thing"" in #GOPDebate ""Carly Fiorina - 'The Dem Party is undermining the very character of this nat…"
Positive,RT @adamslily: Here's your contrast. #GOPDebate http://t.co/lXaX6wuUnj
Positive,".@BorowitzReport assesses Walker's #GOPDebate performance, via @NewYorker: http://t.co/87P5EeW8W7"
Neutral,RT @bob_owens: #GOPDebate so far. http://t.co/Y4apHoxW6y
Negative,Look at that affirmative action letting that black man stand with those nine white guys @BenCarson2016 #GOPDebate
Neutral,"""An Open Letter to @megynkelly: It's Not Too Late to Become a Feminist"" by @LynnBeisner #GOPDebate http://t.co/TYqj9T34Kg"
Negative,RT @ScottWGraves: F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candida…
Neutral,RT @JulieWeise: #GOPDebate Sociologists keep showing Mex emigrants actually MORE educated than Mex pop. as a whole. It's brain drain not cr…
Neutral,RT @laureldavilacpa: #Hillary2016 is watching the #GOPdebate  ha ha ha ha ha ha!  https://t.co/mzdC9LRDlu
Positive,"In the #GOPDebate, @megynkelly was asking candidates questions she thought the left would throw at them if they won the nomination. Smart!"
Positive,RT @SarahHuckabee: .@USAToday calls @GovMikeHuckabee debate closing a “show-stopping zinger�? #ImWithHuck #GOPDebate
Negative,"RT @fakedansavage: American Women: Scott Walker thinks your fetus should live, you should die. Rubio thinks you should bear your rapist's b…"
Negative,Trump would put the POS in POTUS #GOPDebate #scary #ReallyAmerica
Positive,"RT @StMarysAtLarge: Taking risks with his candidacy last night, #ScottWalker calls #Jesus by name.

It was worth it.

#Courage #GopDebate h…"
Negative,"RT @ddiamond: Three stats you didn’t hear in #GOPdebate.

Since 2009…

· U.S. has gained 8.1 million jobs
· Unemployment rate ↓ 68%
· Unins…"
Negative,&gt;@realDonaldTrump has now spent more time attacking @megynkelly on Twitter than he spent on any #GOPdebate subject. http://t.co/L9WWPiEHdI
Neutral,RT @fuzzytypewriter: THE CHOICE IS CLEAR #GOPDebate #FiskOwlsley2016 http://t.co/UcGHGu2IPu
Negative,"Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate http://t.co/z9v38Vhi03"
Neutral,"RT @bourgeoisalien: Can't wait until the end of the debate when they wrestle an angry, meth addicted bear to the death to see who the real …"
Neutral,Winners &amp; Losers of the Calamity in Cleveland (1st GOP presidential debate) last night. #GOPDebate #FoxNews http://t.co/jbqNXIF1Me
Negative,"RT @ThePatriot143: 😂 @AnnCoulter ""Jeb looks more like Caitlyn Jenner every day."" http://t.co/d41aAmLNBj #GOPDebate #GOPDebate2016 http://t.…"
Positive,"RT @AmyMek: .@foxnews tried their best to destroy @realDonaldTrump tonight! However, it didn't work….it just exposed your network! #Fail #G…"
Positive,RT @ChuckNellis: FINALLY a #TedCruz question! And he HAMMERS it over the center field wall &amp; out of the park!! #CruzCrew #GOPDebate
Negative,Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be President. #GOPDebate
Positive,"RT @GovMikeHuckabee: .@FrankLuntz #GOPDebate analysis, ""Who won? @GovMikeHuckabee"" --&gt; http://t.co/fWGhqVZ9dG #ImWithHuck"
Positive,RT @BenjaminJS: Getting more excited for the #GOPDebate http://t.co/EfGRo33pMO
Negative,More #GOPDebate s pleeeease.  @FoxNews But no Jeb.  Fewer peeps and LOTS of questions.  Not about Rosie.  #Trump #Fiorina #Jindal #Gilmore
Neutral,HOLY FUCK I think he did. #GOPDebate
Neutral,@Destinmurphy #JonVoyage yeah whatevs. Did you see that #GOPDebate tho? 😩
Negative,"The accuracy of it is mind blowing...
#GOPDebate http://t.co/xSXTYuykwp"
Negative,"And for the record, the #GOPDebate was NOT a debate.  It was Fox and the Koch bros interviewing each candidate.  It was a FARCE. Vote Bernie"
Neutral,RT @seanhannity: .@realDonaldTrump: Now some of the people you would least expect are calling me up and apologizing. #Hannity #GOPDebate
Neutral,#GOPDebate @FoxNews @realDonaldTrump  in 2004 you called a woman a nickel&amp;dime whore. Do you stand by that statement now running for POTUS?
Negative,@ChrisChristie to @RandPaul:  after all youre just on committees and more privy about secret information than i am #jealousmuch  #GOPDebate
Positive,RT @Raiden679: Good explanation as to why #Trump surges ahead of other #cuckservative candidates. #GOPDebate http://t.co/hagmnn1Tv7 http://…
Neutral,.@Mark Davis says @CarlyFiorina earned a promotion to the #GOPDebate main stage next time. http://t.co/tynvMJc7dn http://t.co/hxBPQIowMH
Negative,RT @TheBardockObama: Someone ask Jeb Bush if jet fuel can melt steel beams please #GOPDebate
Negative,"RT @AmyMek: Now is NOT a time to be wavering in ANY way towards #Israel, @RandPaul! We have done enough damage to them with #Obama. #GOPDeb…"
Neutral,Best summary of the #GOPdebate that I've encountered @girlwithnojob https://t.co/Fufean0xkW
Negative,#GOPdebate was just a bunch of non-answers and one liners. How is the public supposed to be informed and vote responsibly with this crap?
Negative,"Really, Marco Rubio won last night's #GOPDebate? Which debate was I watching?"
Positive,@realDonaldTrump #MakeAmericaGreatAgain #GOPDebate #TrumpForPresident  I put this together for you. http://t.co/TZtK7BC1rm via @chirbit
Negative,RT @bethanyshondark: Listen brain surgery is impressive. But I don't understand how being able to do that landed Carson on this stage. #GOP…
Negative,@Veribatim Agreed. I think Walker under performed at the #GOPDebate. Disappointing as he is who I'm leaning towards. #UnaffiliatedStill
Positive,"RT @bobcesca_go: Trump won the debate. Christie, I think, was a strong second. #GOPDebate"
Neutral,RT @gillistrill: What is your favorite meme? @GOP #GOPDebate #AskGOP
Positive,"I will support the eventual GOP candidate over Bernie the Socialist, Hillary the Habitual Liar or Biden the Buffoon.  #GOPDebate"
Neutral,"RT @michellemalkin: #gopdebate Everything about Jeb Bush, Common Core, Pearson, PARCC &amp; money trail that you didn't learn from Fox ==&gt; http…"
Negative,RT @jodiecongirl: I feel like whenever politicians are asked about the economy they respond with how they can make puppies and unicorns app…
Negative,"F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candidacy.
#GOPDebate"
Positive,bottom line is that i will vote for any of the candidates last night over @HillaryClinton #GOPDebate
Neutral,"http://t.co/a5Oe7jfBwx

We're talking #GOPDebate, #JonVoyage &amp; more on #LiveFromE now. Watch: http://t.co/Gs14WRCChI

— E! News (ENews)…"
Negative,All hail The Supreme Being Ronald Jesus Reagan #GOPDebate
Neutral,"Rush: ""Not one of the 9 other candidates on the stage joined Megan Kelly in going after Donald Trump"" #GOPDebate"
Negative,Trump should do like Obama and refuse to communicate with #PoxNews for saying anything he doesn't like.  #GOPDebate
Negative,That #GOPDebate last night was ridiculously biased against @realDonaldTrump the moderators were very unprofessional.
Neutral,"""You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees"" 

OMFG #GOPdebate"
Neutral,5 Major Takeaways from the #GOPDebate: http://t.co/WUxoZh5TiK #TCCUS
Neutral,OMG what a movie https://t.co/j2pAkc9u9y … #PUSO2019 #SilopidePolisTeroerueVar #SMINC #GOPDebate #JonVoyage #MyMotherAlwaysToldMe 1087
Negative,@megynkelly Trump simply can't be harmed by his own impolitik statements. It's like trying to drown Aquaman. #GOPDebate #DonaldTrump
Negative,"RT @FreedomJames7: Never Forget: Ted Cruz Never Supported Amnesty.
#GOPDebate"
Positive,17 candidates + #Trump makes the #GOPDebate interesting for a change! Top 10 moments from Thursday's debate http://t.co/1069hw6pbl
Neutral,#GOPDebate - live report from Jefferson's.  http://t.co/FlowHTLihO http://t.co/fKFYtS8F23
Positive,This #GOPDebate is keeping the spray tan industry alive and thriving! #bringingjobs
Positive,I want to RT all of @Refinery29 #GOPDebate tweets. There is nothing better on this Friday.
Neutral,Robert Costa / David Weigel breaking down the #GOPdebate in this neat presentation by @Tan_Shelly  @SethBlanchard http://t.co/hGTwHlqIDL
Negative,RT @Nickcalves: Tell me this isn't @realDonaldTrump?? #GOPDebate http://t.co/tj5UEuQ8jM
Neutral,@DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate
Neutral,"RT @zachbraff: Anyone wanna watch the #GOPDebate ? I have weed, chips and guac."
Neutral,RT @Totalbiscuit: So the #GOPDebate made David Cameron look practically sane by comparison. Being a British leftie in the US is a bizarre e…
Negative,"Wouldn't debates be interesting if the questions were just asked, and whoever wanted to answer did. True personalities would show #GOPDebate"
Positive,RT @Raddmom: Did you know that @CarlyFiorina graduated from #Stanford #UofMaryland AND #MIT? I didn't -but know now! #Impressive #2ndLook #…
Negative,RT @amaraconda: ISIS is not islam jfc republicans talk all this shit about a terrorist group while dehumanizing every1 who follows islam fu…
Negative,RT @CocaineSoWhlte: Cocaine so white it's watching the #GOPDebate
Neutral,"RT @DarthPutinKGB: A Russian political debate is 10 candidates debating why they will vote for me.
#GOPDebate"
Negative,"RT @ThePatriot143: Rubio Says He Wants Border Fence, Visa Tracking System, But Voted Against Both to Pass Gang of Eight Bill http://t.co/Qt…"
Negative,"Trump Supporters �?��? To Attack Other Conservative Followers 😳
#GOPDebate"
Positive,Republicans are turning on Fox News and it is AWESOME!!!! #GOPDebate
Positive,"RT @ChadPergram: Cruz: We need a commander in chief who makes clear if you join ISIS, then you are signing your death warrant. #GOPDebate"
Positive,Marco Rubio debating like a champ. #partyofthefuture #GOPDebate
Neutral,RT @GetUpStandUp2: #BATSAsk which #GOPdebate candidate is willing to put the humanity back into education? @berniesanders http://t.co/6dTpe…
Negative,RT @RviydoGUTV: Donald Trump is like Sanjaya from American Idol. You know he won't win but you're curious to see how far he will go #GOPDeb…
Neutral,RT @Refinery29: Mike Huckabee thinks fetuses have more rights than pregnant women: http://t.co/aIMFf13KTM #GOPDebate http://t.co/2nFKmpCPu9
Positive,"Carly Fiorina is really impressive, I hope she can get more press and gain some steam. #GOPDebate"
Neutral,"RT @TheAbridgedZach: The 3 Most and Least Libertarian Moments from Last Night's #GOPDebate. (Spoiler: ""Most"" was slim pickin'): https://t.c…"
Neutral,RT @MolonLabe1776us: How much did Hillary/ CNN/ and MSNBC pay you to moderate tonight? @megynkelly #GOPDebate @realDonaldTrump #TCOT http:/…
Positive,Why did I have to be at a campground on the day of the first #GOPDebate?
Positive,@joshtpm #GOPDebate Mission Statement: Tell more people that U love them U never know how much they might need it -C Brogan
Negative,"RT @ChristiAnne67: #GOPDebate fact check http://t.co/o3Q8r8dxN4 the lies, misinformation, &amp; spin.

#UniteBlue 
Enough gop hypocrisy! http:/…"
Neutral,RT @CBSLAElsa: One of our producers spied me in the newsroom indulging in tonight's #GOPDebate. He said I was his #newsnerd 👓 http://t.co/r…
Neutral,"RT @JMPoff: #RandPaul and the Church Lady are literally THE SAME PERSON

#GOPDebate

�?�?�?�?�? http://t.co/YkdaIWpHrO"
Positive,"Boffo early ratings for #GOPDebate: 16% of US households tuned in, 2x the old record. More: http://t.co/FEFIOelxnL http://t.co/4AQNYhWC64"
Positive,"RT @sarafeed: Don’t care who your candidate is or what party you vote for, this answer from @CarlyFiorina is on point:
https://t.co/DH4iFzb…"
Neutral,RT @SarahBatcha: Did you watch tonight's #GOPDebate? Here's what it looked like through the eyes of Twitter: http://t.co/ubW2aOImxh http://…
Neutral,"The 3 Most and Least Libertarian Moments from Last Night's #GOPDebate. (Spoiler: ""Most"" was slim pickin'): https://t.co/2brzKNmloJ"
Positive,The second most-retweeted presidential candidate Tweet of the #GOPDebate https://t.co/rybdNPfypW
Neutral,RT @BenSwann_: GOP Debate: @RandPaul Notes U.S. Involvement In Arming #ISIS http://t.co/jzDPNtWB1E #standwithrand #gopdebate
Neutral,when #GOPDebate reached the extreme peak! https://t.co/4B6REn7Jd7
Positive,I'd say Bush and Kasich came out of last nights debate quite well. They seem more moderate compared to others? #GOPDebate
Neutral,Most retweeted for #GOPDebate #wakeupeveryone https://t.co/R4JUZdFQ52
Neutral,RT @ChronicleMike: Walker on why changed postn on immig: Need to secure border. Met with TxGovAbbott. Know more #GOPdebate #txlege #txpolit…
Negative,RT @shannonrwatts: The #NRA gives millions to lawmakers - their annual budget is $350M. We must prevent them from making U.S. gun laws. #GO…
Negative,"#GOPDebate @DuffelBlog @TYFYS84 Okay, I just woke up.  When does the debate start?  Guys?"
Neutral,"RT @FreedomJames7: Montel Williams Just Endorsed John Kasich For President.
#GOPDebate http://t.co/eZ9yL3UXXs"
Neutral,RT @kvxrdashian: when you leave the Republican Party and become a Democrat. #GOPDebate http://t.co/XrmlHwo1NV
Positive,RT @ChuckNellis: When @TedCruz talks we are such similar souls; this is the 1980 election all over &amp; a REAL Conservative is the ANSWER! #GO…
Negative,RT @DaTechGuyblog: Advice to #GOP candidates in order of how I think they finished 3rd place Ben Carson you'rve been noticed flesh it out  …
Negative,I love hearing all the #Trump Chumps whining about the #GOPDebate moderators. Maybe they should worry more about his lack of cogent ideas.
Positive,Why is everyone giving @megynkelly a hard time on #GOPDebate? She did a great job asking tough questions. We need that now more thanever!
Positive,"RT @JbthomJohn: Last night's #GOPDebate: what topics merited attention, and which were ignored #GOPtbt http://t.co/tQXw14qzZB"
Positive,"http://t.co/ys2n1uflHT
#GOPDebate wrapup. @tgradous @marylene58 @LLMajer @larryvance47 
@JVER1 @LVNancy @qnoftherealm @usvetram @FreeLion7"
Negative,"Now I know I was right about #GOPDebate. If Sally Kohn agrees with her, she was definitely out of line! https://t.co/JudMM4iT3j"
Positive,"RT @RickCanton: From what I've seen so far from this top ten debate, #CarlyFiorina is winning this thing. #Carly2016 #GOPDebate #WakeUpAmer…"
Negative,"From @GlennCook_NV: #GOPdebate marks beginning of the end for #Trump: https://t.co/VDBYGTLZGO, via @reviewjournal"
Negative,Most depressing thing about #GOPDebate is that there will be no Jon Stewart on @TheDailyShow to make us laugh through the tears #JonVoyage
Neutral,RT @the_ironsheik: WHY YOU DONT YOU ASK ME MODERATE BUBBA??? #GOPDebate
Neutral,@FelizRobertson The #GOPDebate . Still reviewing. Guyana next elections on my mind.
Positive,"RT @KeltieKnight: @RealBenCarson great job tonight, you seemed like the only one up there with a soul. #GOPDebate"
Neutral,"RT @larryelder: How DARE FOX ask #DonaldTrump for proof that ""Mexico is sending criminals."" Who do they think they are? (sarcasm)
#GOPDebate"
Neutral,Fiorina for the People #proud American #GOPDebate #2016 #WakeUpAmerica
Neutral,"RT @EmperorSean: Who won #GOPDebate? Why, the candidate I liked already. Can't you see? It's so obvious!"
Negative,RT @tnyCloseRead: How do you earn a Jeb? http://t.co/JKGx2Ojrwi #GOPDebate
Neutral,RT @JustenCharters: Carly Fiorina wrote an op-ed for us at IJReview after her performance last night.  http://t.co/LdQE8KG2ZW #GOPDebate
Neutral,"Liberals: LoL @ showing Straight Outta Compton trailer during #GOPdebate
Radical Liberals: Straight Outta Compton is rape culture!!"
Negative,Did Trump Implode in #FOXdebate? Special new @hlcpodcast #GOPdebate edition http://t.co/HEYhWpWUWx #mapoli #nhpolitics #mepolitics #trump
Positive,Support 1 U like #TCOT This is STILL America but PLS VET so U KNOW what ur getting! https://t.co/hrLWhET2x8 #GOPDebate #FoxNews #iapolitics
Negative,"#InternationalBeerDay…because the whole world needs a drink after that oh-so-American #GOPDebate
�?�🇺🇸�?�😜🇺🇸�?�"
Neutral,The most-retweeted presidential candidate Tweet of the #GOPDebate. https://t.co/hdKdiZIym2
Negative,RT @grindingdude: Biggest elephants in the room at last night #GOPDebate were #FOX panelists. Shoddy performance at best! http://t.co/vhIqq…
Negative,"RT @shannonrwatts: In states that closed background check loophole, #DV and police shooting deaths and gun suicides cut almost in half #GOP…"
Neutral,"RT @senatorshoshana: ""Ronald Raven"" #GOPDebate http://t.co/bymorRA7Bc"
Positive,RT @SarahHuckabee: .@FrankLuntz analysis says @GovMikeHuckabee won the debate —&gt; http://t.co/QUwoCLfs8q #ImWithHuck #GOPDebate
Positive,"RT @TexanCat: I am 50 &amp; have never been more proud of a political candidate. TY, @tedcruz. Hope more Americans will soon feel same. #CruzCr…"
Negative,"RT @el_nuko: @Stonewall_77 @megynkelly @BretBaier @FrankLuntz @FoxNews @realDonaldTrump did #Jeb get 5, no 6 softball q's last night? #GOPD…"
Negative,Conservatives CANT POSSIBLY Support a Candidate that DONATED TO HILLARY- EVER-this is ASININE #tcot #ccot #GOPDebate #RedNationRising #PJNET
Positive,I Strongly Suggest Everyone To Listen To Dennis Prager Today.  #GOPDebate
Positive,"RT @brianmrosenthal: ICYMI: At #GOPDebate, @RandPaul calls out Houston Mayor Annise Parker over #HERO controversy: http://t.co/qxB1edQOzN"
Positive,RT @FWD_us: #Immigration fact: Undocumented immigrants paid $10.6 billion in taxes in 2010. #GOPdebate #economy http://t.co/z1v2FVruBR
Positive,WHAT IS LOVE? Presenting D Trump at the Roxbury! https://t.co/SERwdl1yfc #DonaldTrump #GOPDebate http://t.co/k5kvYbeij8
Neutral,RT @moneyries: The 2 most-retweeted presidential candidate Tweets of the #GOPDebate came from Democrats @BernieSanders &amp; @HillaryClinton - …
Negative,"RT @LoganMBooker: I wish to god one of the moderators would ask these dudes about the #UGA quarterback battle. 
#GOPDebate"
Positive,RT @holly_harris: On @TODAYshow @chucktodd says @JohnKasich helped himself the most in the #GOPDebate. Kasich's 1st answer of night include…
Negative,DUMBMASSES #IDIOCRACY #GOPDebate  https://t.co/C7fFOOErmn
Positive,RT @RhondaWatkGwyn: It sure was. #Huckabee delivered his message well.  #ImWithHuck #GOPDebate #th2016 #ccot #tcot #teaparty #pjnet https:/…
Negative,"Donald Trump would be a bad President, but an excellent Pro Wrestler. Finishing move: The Trump Card! #GOPDebate"
Neutral,Follow up question to @JohnKasich: Will you nominate supreme court justices that will uphold marriage equality cases? #GOPDebate
Positive,RT @ShooterMcGavin_: Donald Trump is the Shooter McGavin of Politicians #GOPDebate
Positive,"Frank Luntz: #GOPDebate ""Great News for Ted Cruz"" https://t.co/lZWVLuBgNq via @YouTube"
Neutral,"RT @pondlizard: Ted Cruz reacts to Fox News GOP debate on ""Hannity"" http://t.co/B4LzAIhOk3 via @YouTube #GOPdebate"
Neutral,"RT @LauraSanthanam: Top 3 #GOPDebate times
Trump 11:06
Bush 8:40
Huck 6:39
MORE RESULTS HERE: http://t.co/o06uCZXFF8"
Negative,RT @kyleraccio: Fox News must be taking marching orders from RNC by their treatment of Cruz and Trump and Carson. #gopdebate
Neutral,The human embodiment of ¯\_(ツ)_/¯ #GOPDebate http://t.co/rUkXAyZMbu
Neutral,"RT @Sanders4Potus: RT @ABCPolitics: According to @gov, the most-retweeted candidate tweet of the #GOPDebate didn't come from a Republ… http…"
Neutral,Hope #tcot&amp;#tgdn enjoyed the pander-fest at the #GOPDebate debate last night. How does spoon-fed pap taste? @GOP @BuhByeGOP  @LOLGOP
Neutral,The 2 most-retweeted presidential candidate Tweets of the #GOPDebate came from Democrats @BernieSanders &amp; @HillaryClinton - Twitter data
Negative,"On the FB post of last night's #GOPdebate, all the comments seem to be attacking Fox News for ""attacking Trump"". 😀😀😀 http://t.co/YuLgjreYvU"
Negative,"RT @BrianZahnd: My Native American friends get a kick out of white folks complaining about ""illegals."" #GOPDebate"
Neutral,RT @derekahunter: Up next we get #GOPDebate reaction from @dbongino. @WBALRadio and http://t.co/wTDQ8gmvEl
Neutral,@LatinaLista Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube
Neutral,RT @jordanbartel: Rodney the Ocean City Lifeguard for president! #GOPDebate
Negative,.@Bipartisanism This was not at all talked about at the #GOPDebate http://t.co/4Wj0ZBZMqe
Neutral,Instagram: gaydayslosangeles #gopdebate 😂😂😂 gurrlll!! http://t.co/5xsVTuyimP http://t.co/2IrXUpIXKe
Negative,"RT @RWSurferGirl: Bottom Line:

Fox News lost the debate.

All the candidates have more integrity. 

#GOPDebate  🇺🇸"
Positive,RT @SarahHuckabee: .@BretBaier named @GovMikeHuckabee has one of his “winners�? of #GOPDebate —-&gt; https://t.co/OBSveWvo41 #ImWithHuck
Negative,"RT @MacandGaydos: Mac-#GOPDebate: kinda like prom night. Lots of anticipation, some fun moments, but nothing lasting. Glad I watched but un…"
Neutral,"RT @KennedyNation: ""Megyn I could crack your head open and eat your brain."" - Dr Ben Carson #GOPDebate"
Neutral,"RT @geridynomite: Psalm 33:12

#GOPDebate http://t.co/6hW465gTEn"
Negative,RT @_HankRearden: .@megynkelly so would you consider Trump part of the 'patriarchy?' Serious question. #GOPDebate
Neutral,"RT @stitchkingdom: so quick question.. if God is personally advising all the #GOPDebate candidates, shouldn't they all agree with each othe…"
Negative,RT @ItsShoBoy: #GOPDebate Reveals @GOP Candidates’s Terrifying Fantasies About #Abortion http://t.co/GYjq13nW35 #TNTVote #AINF #tlot #p2 #t…
